Thane,Maharashtra (MH),2014,6.5,6.6,8.0,2.9,3.8,1.5,0.9,42,2724,11.7,3.7,28,33,39
Thane,Maharashtra (MH),2015,5.6,6.2,5.2,3.7,4.9,1.1,0.8,57,2638,5.4,18.6,29,30,41
Thane,Maharashtra (MH),2016,5.4,5.1,7.4,6.5,4.4,1.7,0.6,30,2769,7.9,3.3,27,29,44
North 24 Parganas,West Bengal (WB),2014,3.9,2.8,5.1,4.9,4.3,1.6,0.7,41,2769,3.7,22.6,31,31,38
North 24 Parganas,West Bengal (WB),2015,6.4,5.0,8.1,5.7,2.7,1.0,0.8,39,2968,3.4,18.6,20,36,44
North 24 Parganas,West Bengal (WB),2016,5.9,6.4,5.9,5.7,5.1,1.6,0.9,43,3497,11.2,14.1,37,26,37
Bangalore Urban,Karnataka (KA),2014,5.6,3.4,7.6,6.6,4.3,1.9,0.7,46,3442,3.0,17.9,25,29,46
Bangalore Urban,Karnataka (KA),2015,7.0,6.4,6.0,4.7,3.5,2.0,0.9,58,2676,11.4,23.8,31,28,41
Bangalore Urban,Karnataka (KA),2016,3.8,4.4,5.4,6.4,3.1,1.9,0.5,30,2768,12.9,14.7,37,39,24
Pune,Maharashtra (MH),2014,3.4,4.1,8.1,2.9,5.3,2.0,0.7,44,2664,7.5,10.8,30,40,30
Pune,Maharashtra (MH),2015,6.2,3.4,4.1,5.1,4.7,1.0,0.5,31,3336,5.1,17.3,26,29,45
Pune,Maharashtra (MH),2016,3.1,4.1,4.8,6.5,4.8,1.9,0.8,54,3366,8.1,10.2,37,26,37
Mumbai suburban,Maharashtra (MH),2014,4.5,4.3,9.0,4.0,3.6,1.4,0.8,48,3171,6.3,13.7,34,38,28
Mumbai suburban,Maharashtra (MH),2015,3.6,6.7,4.7,5.1,2.9,1.1,0.9,47,3048,13.8,7.4,36,30,34
Mumbai suburban,Maharashtra (MH),2016,3.5,2.5,5.8,5.6,3.9,1.6,1.0,43,3185,15.3,6.9,25,25,50
South 24 Parganas,West Bengal (WB),2014,6.7,5.6,8.4,3.2,4.5,1.2,0.6,30,2794,8.3,10.1,40,25,35
South 24 Parganas,West Bengal (WB),2015,4.1,4.5,4.5,5.8,3.3,1.2,0.7,52,3434,15.3,13.5,24,30,46
South 24 Parganas,West Bengal (WB),2016,6.2,6.7,5.5,5.8,2.7,1.6,0.6,60,3205,4.6,20.4,32,33,35
Bardhaman,West Bengal (WB),2014,5.9,5.3,4.0,2.4,4.6,1.2,0.6,44,3345,14.8,18.3,25,36,39
Bardhaman,West Bengal (WB),2015,3.2,5.8,8.4,6.0,5.5,1.9,0.9,47,3486,5.4,8.2,28,30,42
Bardhaman,West Bengal (WB),2016,6.1,3.8,4.1,5.5,4.4,1.2,1.0,55,3232,8.4,6.3,21,33,46
Ahmedabad,Gujarat (GJ),2014,5.5,5.9,4.6,4.8,3.0,1.1,1.0,37,3038,12.2,22.2,36,38,26
Ahmedabad,Gujarat (GJ),2015,6.2,2.7,8.9,2.4,4.0,1.9,0.7,37,3048,10.3,18.6,26,38,36
Ahmedabad,Gujarat (GJ),2016,3.3,7.2,5.2,3.1,3.1,1.3,0.5,46,3130,5.2,5.8,35,36,29
Murshidabad,West Bengal (WB),2014,6.0,6.1,8.4,5.2,2.7,1.3,0.6,31,2654,16.6,9.0,22,31,47
Murshidabad,West Bengal (WB),2015,4.3,6.6,4.3,2.9,4.2,1.9,0.9,54,2853,5.7,8.9,28,30,42
Murshidabad,West Bengal (WB),2016,5.8,7.4,4.4,6.9,3.2,2.0,0.6,53,2946,8.9,23.0,24,34,42
Jaipur,Rajasthan (RJ),2014,4.4,7.8,6.7,4.3,4.4,1.7,0.7,33,2930,10.3,10.1,30,29,41
Jaipur,Rajasthan (RJ),2015,5.2,7.4,4.6,5.2,3.2,1.4,0.5,31,2994,4.7,3.4,25,30,45
Jaipur,Rajasthan (RJ),2016,6.6,3.1,6.8,6.0,2.9,1.0,0.5,54,2597,9.4,10.1,40,36,24
Nashik,Maharashtra (MH),2014,6.1,6.7,5.9,5.1,2.6,1.1,0.9,36,3365,8.7,22.2,27,33,40
Nashik,Maharashtra (MH),2015,3.3,4.8,7.4,5.1,4.1,1.0,0.7,52,2577,12.6,14.8,27,36,37
Nashik,Maharashtra (MH),2016,4.8,5.3,6.8,5.3,4.8,1.8,0.7,47,2828,9.9,25.0,39,27,34
Allahabad,Uttar Pradesh (UP),2014,4.7,5.3,6.1,2.0,4.9,1.6,0.8,59,2705,16.7,23.9,22,34,44
Allahabad,Uttar Pradesh (UP),2015,3.5,4.7,7.1,4.7,3.0,1.2,0.7,41,2704,10.1,6.8,36,40,24
Allahabad,Uttar Pradesh (UP),2016,5.4,7.1,7.8,6.2,3.1,1.8,0.5,39,2971,8.1,9.3,36,33,31
Patna,Bihar (BR),2014,3.6,5.2,8.9,3.6,4.4,1.1,0.9,53,3447,11.2,3.9,33,29,38
Patna,Bihar (BR),2015,5.4,4.0,6.7,5.5,4.1,1.8,0.7,59,2546,15.3,13.7,22,34,44
Patna,Bihar (BR),2016,3.4,2.7,7.0,6.3,4.9,1.6,0.9,38,3463,14.3,13.5,25,38,37
Hooghly,West Bengal (WB),2014,6.6,4.2,4.4,4.4,5.4,1.4,0.9,45,3179,9.7,8.9,40,33,27
Hooghly,West Bengal (WB),2015,5.1,7.2,6.4,4.3,3.3,1.2,1.0,56,2964,10.5,20.6,31,30,39
Hooghly,West Bengal (WB),2016,4.6,5.9,5.1,5.5,5.0,2.0,0.6,30,2865,14.8,6.1,40,25,35
Ranga Reddy,Telangana (TS),2014,4.3,3.8,8.3,2.3,4.2,1.8,0.9,56,2811,7.5,6.4,27,32,41
Ranga Reddy,Telangana (TS),2015,5.9,5.6,7.2,5.0,4.9,1.4,0.5,31,2844,9.3,11.8,30,34,36
Ranga Reddy,Telangana (TS),2016,5.4,2.8,5.6,5.1,4.2,1.5,1.0,56,2894,8.1,17.5,22,28,50
Nadia,West Bengal (WB),2014,3.0,2.5,8.9,5.9,5.3,1.5,0.6,33,3073,6.6,17.1,31,31,38
Nadia,West Bengal (WB),2015,4.6,6.3,5.0,4.9,5.5,2.0,0.5,40,3486,5.1,16.5,33,27,40
Nadia,West Bengal (WB),2016,4.9,7.1,5.8,4.5,4.0,1.2,0.5,34,3079,6.0,14.6,32,25,43
East Godavari,Andhra Pradesh (AP),2014,4.0,3.5,8.5,2.7,3.9,1.7,0.7,46,3380,11.0,5.9,21,30,49
East Godavari,Andhra Pradesh (AP),2015,5.5,3.8,5.1,4.5,2.7,1.5,0.8,48,3012,9.2,3.4,29,39,32
East Godavari,Andhra Pradesh (AP),2016,3.6,4.2,6.2,5.2,3.5,2.0,0.8,33,3452,5.0,13.3,24,36,40
Paschim Medinipur,West Bengal (WB),2014,6.0,4.2,4.1,3.1,3.4,1.2,0.8,58,3219,9.5,12.3,33,40,27
Paschim Medinipur,West Bengal (WB),2015,4.7,2.8,4.2,2.2,4.0,1.2,0.8,56,3419,16.6,24.0,30,30,40
Paschim Medinipur,West Bengal (WB),2016,3.2,6.1,8.8,4.3,5.2,1.1,0.6,60,2741,11.6,24.4,25,29,46
East Champaran,Bihar (BR),2014,3.0,7.3,8.6,6.7,3.3,2.0,0.9,48,3029,8.8,2.2,29,27,44
East Champaran,Bihar (BR),2015,3.1,4.4,7.0,4.2,4.1,1.3,0.6,31,2761,7.0,13.6,27,34,39
East Champaran,Bihar (BR),2016,3.5,6.4,5.2,5.4,3.2,1.5,0.5,42,2941,3.9,22.6,26,35,39
Surat,Gujarat (GJ),2014,4.3,6.6,4.9,4.8,5.0,1.7,0.7,37,3208,13.9,20.8,20,37,43
Surat,Gujarat (GJ),2015,4.0,3.5,6.5,5.6,2.7,1.1,0.5,56,3029,13.8,18.3,37,39,24
Surat,Gujarat (GJ),2016,5.1,3.3,6.5,5.7,2.5,1.3,0.8,50,3086,12.6,3.2,24,32,44
Guntur,Andhra Pradesh (AP),2014,6.1,7.0,6.5,3.9,5.4,1.4,0.6,57,3063,10.0,10.9,37,26,37
Guntur,Andhra Pradesh (AP),2015,4.0,7.8,8.3,2.1,4.2,1.5,1.0,33,3354,11.1,18.3,28,30,42
